Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000185198.7,306.4065360680958,-5.349078842381403,0.2294305464741527,-23.314588770262215,3.153410127278755e-120,1.2895870715506468e-115
ENSG00000077279.12,286.88796377492133,4.856724070065073,0.2203165479759892,22.04429996150073,1.0834298529694039e-107,2.2153431918591886e-103
ENSG00000204472.8,521.03639528426,-5.0318010300418985,0.23376168341706594,-21.52534562759976,9.014579468779318e-103,1.2288374245857673e-98
ENSG00000147443.8,264.92761202092885,-4.538723351107091,0.22835050577364321,-19.876125676753205,6.550072629274698e-88,6.696630504354719e-84
ENSG00000005381.6,1277.0611160540816,-4.421392035258124,0.22544366502737787,-19.61195953197971,1.2223074529107591e-85,9.997252657357098e-82
ENSG00000196415.5,275.95614673534146,-4.110051929285705,0.21040688557896786,-19.533828077803854,5.663093706913623e-85,3.85987028573721e-81
ENSG00000100448.3,328.9906154791673,-4.926191431708719,0.2565197629948263,-19.203945045778305,3.430220223147676e-82,1.7880293715706654e-78
ENSG00000172232.5,231.56046242923202,-3.842610033776232,0.20010538260102784,-19.20293189432924,3.49779556732249e-82,1.7880293715706654e-78
ENSG00000169385.2,127.70784805016702,-5.705693327995977,0.2977954447349003,-19.1597736932317,8.022126646392813e-82,3.6451652133803785e-78
ENSG00000111262.4,71.9636034672803,4.792267958554278,0.2529730300715767,18.94379000480148,4.96882127735204e-80,2.0319994613731168e-76
ENSG00000196361.5,839.4088979857227,3.911351988495768,0.20654728294541824,18.936835831093326,5.670413337419393e-80,2.1081050312160553e-76
ENSG00000186818.8,149.99065535030402,-4.381517691793623,0.23178989456106897,-18.90297115881917,1.078070949261072e-79,3.673975955835962e-76
ENSG00000133561.11,171.95276531931202,-4.324376226312048,0.2293943812656989,-18.85127352488763,2.868528923932442e-79,9.023730026478248e-76
ENSG00000204482.6,190.94020245361887,-3.855135184128339,0.205373630473104,-18.771325097810998,1.2961189370650943e-78,3.7860559950912163e-75
ENSG00000197561.2,130.67084001661607,-3.980601024486616,0.21350466558059533,-18.644093859316573,1.4102359475341318e-77,3.844773271627221e-74
ENSG00000149516.9,107.21090717664144,-4.982724684206383,0.26854638210053666,-18.554428643693225,7.510163474968396e-77,1.9195508456802035e-73
ENSG00000121807.5,100.93150829140791,-4.6748058655973015,0.25342263512754454,-18.446678463604993,5.545022881024266e-76,1.3339041807028666e-72
ENSG00000186847.5,3870.218778816813,-4.138098816215186,0.22490560334141935,-18.399269536799046,1.3314751931147148e-75,3.02503766791257e-72
ENSG00000100427.11,1110.3294972648334,-4.043215111710782,0.22383348027774413,-18.063495714286137,6.178323834065544e-73,1.3298029115479496e-69
ENSG00000110484.6,227.5790240084691,4.4084160378216115,0.2462276402675629,17.90382279191407,1.1009847536106068e-71,2.2512385749452882e-68
ENSG00000084674.9,440.36106563609707,-4.108237133320119,0.2306128898175494,-17.81442978564803,5.461156356876672e-71,1.0634951867355786e-67
ENSG00000125492.5,13.589716025176665,1.8525850063898794,0.10529371017260156,17.594450830472685,2.7167649919099786e-69,5.050095652007208e-66
ENSG00000167613.11,1056.3508144715806,-4.05918316958412,0.23338785920680363,-17.392434993747045,9.414802545056275e-68,1.6739928264351146e-64
ENSG00000178562.13,110.06275525087244,-3.7710204892771344,0.21884259084503196,-17.23165712266444,1.5368472288243632e-66,2.618723642615514e-63
ENSG00000204347.3,41.91596184520553,3.6155276185560945,0.2115248757767953,17.092682859538762,1.6825181603045076e-65,2.7522632066261134e-62
ENSG00000255587.3,125.36563471085657,-3.4489184189234603,0.20202218169495711,-17.07197887869138,2.3992775488983937e-65,3.773786744699993e-62
ENSG00000167851.9,247.5253478907268,-4.091671141950568,0.24059856506369404,-17.006215896871094,7.385679487426248e-65,1.118656898660357e-61
ENSG00000171777.11,83.35449963624013,-3.047972061373777,0.1804583677705203,-16.890167516364368,5.315188248664967e-64,7.763022265326922e-61
ENSG00000128438.6,77.85443526837379,-3.6975388602077603,0.22190258417315817,-16.662892295668104,2.4393719095901805e-62,3.439934973885877e-59
ENSG00000142347.12,944.5339710919743,-2.9819438012037995,0.17969875501373558,-16.594126102742724,7.685426888629573e-62,1.0476517753683546e-58
ENSG00000101082.9,81.04067811443676,-2.8597973011596762,0.1736171919074144,-16.47185552157031,5.844971160440972e-61,7.710648245362373e-58
ENSG00000077943.7,498.39836568909567,-3.9930824911131357,0.24248182848205346,-16.467553532196625,6.275752948265844e-61,8.020216150604115e-58
ENSG00000196565.8,389.88392925115045,-3.8197929117022107,0.23284087711008722,-16.405164587557415,1.7565008390594881e-60,2.1767303579799325e-57
ENSG00000110876.8,2183.4827952931364,-2.9293101254252734,0.17954002784822556,-16.315638136703253,7.640357152136579e-60,9.189776639312511e-57
ENSG00000255833.1,17.01582100916637,-3.42623440402848,0.21103807122805687,-16.23514839806294,2.8455894921651102e-59,3.3248680652026333e-56
ENSG00000170616.9,124.52318564009602,2.450796701869171,0.15152115540978528,16.174617301729594,7.616957541886969e-59,8.652652185429655e-56
ENSG00000008196.8,209.02132470802985,3.90250717491416,0.2453513960011311,15.9057875297199,5.777222872997078e-57,6.385392686249068e-54
